CUST_ID,BALANCE,PURCHASES,risk_appetite,neuro_score,conscientiousness,annual_revenue,years_with_bank,tier,psychotype,recommendation,estimated_LTV
USER_0,"4692,6809","6127,153125","0,3972073043","0,1925664644","0,140868604","357,1771075",7,Retail,Standard,Standard Savings,"2500,24"
USER_1,"30101,21431","1715,825635","0,2121803826","0,3959504737","0,6249437704","1539,377228",3,HNW,Wealthy Accumulator,Private Banking,"4618,13"
USER_2,"13167,45694","902,6538032","0,9112354154","0,5114729179","0,7288705095","676,4259228",6,Retail,Standard,Standard Savings,"4058,56"
USER_3,"9129,425538","12719,05761","0,9331358684","0,4411124432","0,9319127326","710,852429",5,Retail,Standard,Standard Savings,"3554,26"
USER_4,"1696,248705","2750,219549","0,4975751442","0,5532805739","0,2788719263","139,8168262",12,Retail,Standard,Standard Savings,"1677,8"
USER_5,"1695,962919","1633,88751","0,006495015999","0,4793916834","0,9502112059","117,4758962",10,Retail,Standard,Standard Savings,"1174,76"
USER_6,"598,3876861","3183,085959","0,1097829537","0,4461382823","0,06326267182","93,58110349",4,Retail,Standard,Standard Savings,"374,32"
USER_7,"20112,30864","12495,88532","0,5730279602","0,5495978258","0,6030138634","1255,533139",1,HNW,Standard,Standard Savings,"1255,53"
USER_8,"9190,821536","2447,500794","0,0237767023","0,2498340044","0,05713271934","508,4910927",7,Retail,Standard,Standard Savings,"3559,44"
USER_9,"12312,50062","4135,004523","0,396911924","0,4197124818","0,8937741878","698,3251213",8,Retail,Standard,Standard Savings,"5586,6"
USER_10,"207,99308","8121,902523","0,3033699456","0,2356047209","0,5298090571","172,8377045",2,Retail,Standard,Standard Savings,"345,68"
USER_11,"35035,57475","2785,504411","0,7143482754","0,568834004","0,6693483508","1807,488826",7,HNW,Wealthy Accumulator,Private Banking,"12652,42"
USER_12,"17864,29543","1329,875591","0,05557867295","0,5720296698","0,8315739259","919,8122835",6,HNW,Standard,Standard Savings,"5518,87"
USER_13,"2386,876252","26038,49852","0,488731269","0,1947134057","0,1503106225","640,113783",5,Retail,Standard,Standard Savings,"3200,57"
